 #####
 ##### Histogram dN/pE dE                                
 #####
 #  Underflow  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
 #  Entries    1.4625E+00  1.1901E+00  7.0995E-01  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  3.4802E-04  1.3820E-04  1.0000E-20  1.0000E-20  2.8030E+01  4.0270E+01  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  2.8419E-04  1.0000E-20
 #  Overflow   1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0840E-01  5.7477E-04  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
 #
 #    minimum  1.3827E-01  1.3977E-01  1.4151E-01  9.9000E+10  9.9000E+10  9.9000E+10  9.9000E+10  6.5305E-01  7.1073E-01  9.9000E+10  9.9000E+10  9.3378E-01  9.3374E-01  9.9000E+10  9.9000E+10  9.9000E+10  9.9000E+10  9.9000E+10  9.9000E+10  9.9000E+10  1.1723E+00  9.9000E+10
 #    maximum  1.3755E+00  1.3403E+00  1.2807E+00 -9.9000E+10 -9.9000E+10 -9.9000E+10 -9.9000E+10  6.6739E-01  7.1073E-01 -9.9000E+10 -9.9000E+10  2.7447E+00  2.7428E+00 -9.9000E+10 -9.9000E+10 -9.9000E+10 -9.9000E+10 -9.9000E+10 -9.9000E+10 -9.9000E+10  1.3637E+00 -9.9000E+10
 #####
 #####          2:pi+       3:pi0       4:pi-       5:rho+      6:rho0      7:rho-      8:divMes    9:K+       10:K0       11:K~0      12:K-       13:p        14:n        15:n~       16:p~       17:Delta++  18:Delta+   19:Delta0   20:Delta-   21:other M  22:other B  23:other B~ 
   1.0000E-02  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   3.0000E-02  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   5.0000E-02  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   7.0000E-02  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   9.0000E-02  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   1.1000E-01  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   1.3000E-01  5.1795E+00  8.0698E-01  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   1.5000E-01  6.9045E+00  9.5841E+00  3.4626E+00  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   1.7000E-01  8.8182E+00  8.0952E+00  5.5513E+00  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
   1.9000E-01  1.0052E+01  7.1358E+00  5.3352E+00  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20  1.0000E-20
