# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.00000E+00    0.23782E+03    0.24755E+03    0.59119E-01    0.66677E-01    0.30672E+00    0.25249E+00   -0.19795E-02    0.25952E-02   -0.10306E-01   -0.54504E-02
    0.10000E-01    0.23782E+03    0.24755E+03    0.59119E-01    0.66677E-01    0.30669E+00    0.25246E+00   -0.19794E-02    0.25950E-02   -0.10305E-01   -0.54504E-02
    0.20000E-01    0.23782E+03    0.24755E+03    0.59119E-01    0.66676E-01    0.30666E+00    0.25243E+00   -0.19794E-02    0.25948E-02   -0.10305E-01   -0.54504E-02
    0.30000E-01    0.23782E+03    0.24755E+03    0.59118E-01    0.66676E-01    0.30663E+00    0.25241E+00   -0.19793E-02    0.25946E-02   -0.10305E-01   -0.54504E-02
    0.40000E-01    0.23781E+03    0.24754E+03    0.59117E-01    0.66675E-01    0.30660E+00    0.25238E+00   -0.19792E-02    0.25944E-02   -0.10305E-01   -0.54504E-02
    0.50000E-01    0.23781E+03    0.24754E+03    0.59115E-01    0.66673E-01    0.30656E+00    0.25234E+00   -0.19791E-02    0.25942E-02   -0.10305E-01   -0.54504E-02
    0.60000E-01    0.23781E+03    0.24754E+03    0.59112E-01    0.66670E-01    0.30652E+00    0.25231E+00   -0.19791E-02    0.25940E-02   -0.10305E-01   -0.54504E-02
    0.70000E-01    0.23780E+03    0.24753E+03    0.59108E-01    0.66666E-01    0.30648E+00    0.25227E+00   -0.19790E-02    0.25937E-02   -0.10305E-01   -0.54504E-02
    0.80000E-01    0.23779E+03    0.24753E+03    0.59103E-01    0.66661E-01    0.30644E+00    0.25223E+00   -0.19789E-02    0.25934E-02   -0.10305E-01   -0.54504E-02
    0.90000E-01    0.23779E+03    0.24752E+03    0.59096E-01    0.66654E-01    0.30639E+00    0.25219E+00   -0.19788E-02    0.25931E-02   -0.10305E-01   -0.54504E-02
    0.10000E+00    0.23778E+03    0.24751E+03    0.59089E-01    0.66647E-01    0.30633E+00    0.25214E+00   -0.19787E-02    0.25928E-02   -0.10305E-01   -0.54504E-02
    0.11000E+00    0.23776E+03    0.24750E+03    0.59080E-01    0.66637E-01    0.30627E+00    0.25209E+00   -0.19786E-02    0.25924E-02   -0.10305E-01   -0.54504E-02
    0.12000E+00    0.23775E+03    0.24748E+03    0.59069E-01    0.66626E-01    0.30621E+00    0.25203E+00   -0.19785E-02    0.25920E-02   -0.10305E-01   -0.54505E-02
    0.13000E+00    0.23773E+03    0.24747E+03    0.59057E-01    0.66614E-01    0.30613E+00    0.25197E+00   -0.19784E-02    0.25915E-02   -0.10305E-01   -0.54505E-02
    0.14000E+00    0.23771E+03    0.24745E+03    0.59043E-01    0.66600E-01    0.30606E+00    0.25191E+00   -0.19782E-02    0.25911E-02   -0.10305E-01   -0.54506E-02
    0.15000E+00    0.23769E+03    0.24743E+03    0.59028E-01    0.66584E-01    0.30597E+00    0.25184E+00   -0.19781E-02    0.25905E-02   -0.10305E-01   -0.54506E-02
    0.16000E+00    0.23767E+03    0.24741E+03    0.59011E-01    0.66567E-01    0.30589E+00    0.25176E+00   -0.19779E-02    0.25900E-02   -0.10306E-01   -0.54507E-02
    0.17000E+00    0.23765E+03    0.24739E+03    0.58994E-01    0.66549E-01    0.30579E+00    0.25168E+00   -0.19778E-02    0.25894E-02   -0.10306E-01   -0.54507E-02
    0.18000E+00    0.23762E+03    0.24737E+03    0.58975E-01    0.66530E-01    0.30569E+00    0.25160E+00   -0.19776E-02    0.25888E-02   -0.10306E-01   -0.54508E-02
    0.19000E+00    0.23760E+03    0.24734E+03    0.58955E-01    0.66509E-01    0.30559E+00    0.25151E+00   -0.19775E-02    0.25881E-02   -0.10306E-01   -0.54509E-02
    0.20000E+00    0.23757E+03    0.24731E+03    0.58934E-01    0.66487E-01    0.30548E+00    0.25142E+00   -0.19773E-02    0.25874E-02   -0.10306E-01   -0.54510E-02
    0.21000E+00    0.23754E+03    0.24728E+03    0.58911E-01    0.66464E-01    0.30536E+00    0.25132E+00   -0.19771E-02    0.25867E-02   -0.10306E-01   -0.54511E-02
    0.22000E+00    0.23751E+03    0.24725E+03    0.58888E-01    0.66440E-01    0.30524E+00    0.25122E+00   -0.19769E-02    0.25859E-02   -0.10306E-01   -0.54512E-02
    0.23000E+00    0.23747E+03    0.24722E+03    0.58863E-01    0.66415E-01    0.30511E+00    0.25111E+00   -0.19767E-02    0.25851E-02   -0.10306E-01   -0.54513E-02
    0.24000E+00    0.23744E+03    0.24719E+03    0.58838E-01    0.66389E-01    0.30497E+00    0.25099E+00   -0.19765E-02    0.25843E-02   -0.10306E-01   -0.54514E-02
    0.25000E+00    0.23740E+03    0.24716E+03    0.58811E-01    0.66361E-01    0.30483E+00    0.25088E+00   -0.19763E-02    0.25834E-02   -0.10306E-01   -0.54516E-02
    0.26000E+00    0.23737E+03    0.24712E+03    0.58784E-01    0.66332E-01    0.30469E+00    0.25075E+00   -0.19760E-02    0.25825E-02   -0.10306E-01   -0.54517E-02
    0.27000E+00    0.23733E+03    0.24708E+03    0.58755E-01    0.66303E-01    0.30454E+00    0.25063E+00   -0.19758E-02    0.25816E-02   -0.10306E-01   -0.54518E-02
    0.28000E+00    0.23729E+03    0.24705E+03    0.58725E-01    0.66272E-01    0.30438E+00    0.25049E+00   -0.19756E-02    0.25806E-02   -0.10306E-01   -0.54519E-02
    0.29000E+00    0.23725E+03    0.24701E+03    0.58694E-01    0.66240E-01    0.30422E+00    0.25036E+00   -0.19753E-02    0.25796E-02   -0.10306E-01   -0.54521E-02
    0.30000E+00    0.23720E+03    0.24696E+03    0.58662E-01    0.66207E-01    0.30405E+00    0.25021E+00   -0.19750E-02    0.25785E-02   -0.10306E-01   -0.54522E-02
    0.31000E+00    0.23716E+03    0.24692E+03    0.58629E-01    0.66173E-01    0.30387E+00    0.25007E+00   -0.19748E-02    0.25775E-02   -0.10306E-01   -0.54523E-02
    0.32000E+00    0.23711E+03    0.24688E+03    0.58594E-01    0.66137E-01    0.30369E+00    0.24991E+00   -0.19745E-02    0.25763E-02   -0.10306E-01   -0.54524E-02
    0.33000E+00    0.23706E+03    0.24683E+03    0.58559E-01    0.66101E-01    0.30351E+00    0.24976E+00   -0.19742E-02    0.25752E-02   -0.10306E-01   -0.54525E-02
    0.34000E+00    0.23701E+03    0.24679E+03    0.58523E-01    0.66063E-01    0.30331E+00    0.24960E+00   -0.19739E-02    0.25740E-02   -0.10306E-01   -0.54526E-02
    0.35000E+00    0.23696E+03    0.24674E+03    0.58485E-01    0.66025E-01    0.30312E+00    0.24943E+00   -0.19736E-02    0.25728E-02   -0.10306E-01   -0.54527E-02
    0.36000E+00    0.23691E+03    0.24669E+03    0.58446E-01    0.65985E-01    0.30291E+00    0.24926E+00   -0.19732E-02    0.25715E-02   -0.10306E-01   -0.54528E-02
